applicability,service,reporting_period,category_of_illegal_content,description_of_the_sub_category_other,number_of_notices_received,number_of_notices_received_from_trusted_flaggers,number_of_specific_items_of_information_included_in_the_total_number_of_notices,number_of_specific_items_of_information_included_in_the_total_number_of_notices_by_trusted_flaggers,median_time_to_take_action_hours,median_time_to_take_action_hours_trusted_flaggers_notices,number_of_actions_taken_on_the_basis_of_the_law,number_of_actions_taken_on_the_basis_of_the_law_trusted_flaggers_notices,number_of_actions_taken_on_the_basis_of_the_terms_and_conditions_of_the_service,number_of_actions_taken_on_the_basis_of_the_terms_and_conditions_of_the_service_trusted_flaggers_notices,Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_DATA_FALSIFICATION,,94,0,94,0,211,0,0,0,94,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,13,0,13,0,60,0,0,0,11,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,456,0,456,0,38,0,8,0,446,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_DEFAMATION,,77,0,77,0,35,0,3,0,74,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_DISCRIMINATION,,41,0,41,0,34,0,3,0,38,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_HATE_SPEECH,,9,0,9,0,24,0,0,0,9,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,5,0,5,0,360,0,0,0,5,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,4,0,4,0,26,0,0,0,4,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,4,0,4,0,19,0,0,0,4,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,16,0,16,0,19,0,0,0,16,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,8,0,8,0,15,0,1,0,7,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,203,0,203,0,62,0,1,0,197,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_PHISHING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_SELF_MUTILATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_SUICIDE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,9,0,9,0,38,0,0,0,9,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,"Product-related notices, including non-permitted products",23,0,23,0,64,0,0,0,21,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,1,0,1,0,60,0,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",justeattakeaway.com,2025-02-17/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
