Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
Category 4g,Non-consensual sharing of material containing deepfake or similar technology using a third party's features against women (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,
Category 4h,Not captured by any other sub-category,KEYWORD_OTHER,
Category 5,Data protection and privacy violations,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,"In this category, we list the notifications (i.e., user or trusted flagger reports) and sanctions (i.e., negative moderation decisions) that fall under our “Other rights infringement” policy. We define other rights infringement as content involving harassment, insults, threats, or defamation, as well as any infringement of privacy, personal data, or trademark rights.This applies to all content types."
Category 5a,Biometric data breach,KEYWORD_BIOMETRIC_DATA_BREACH,
Category 5b,Data falsification,KEYWORD_DATA_FALSIFICATION,
Category 5c,Missing processing ground for data,KEYWORD_MISSING_PROCESSING_GROUND,
Category 5d,Right to be forgotten,KEYWORD_RIGHT_TO_BE_FORGOTTEN,
Category 5e,Not captured by any other sub-category,KEYWORD_OTHER,
Category 6,Illegal or harmful speech,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,"In this category, we list the notifications (i.e., user or trusted flagger reports) and sanctions (i.e., negative moderation decisions) that fall under our “Hateful content” policy. We define hateful content as any content containing hateful behavior or undermining human dignity, including attacks, insults, threats, or incitement to hatred, violence, or discrimination based on personal attributes real or supposed, such as: race, ethnicity, nationality, religion/faith/beliefs, caste, language, sexual orientation, sex/gender, gender identity, physical appearance, illness, disability, migratory status, and eating disorders, or more generally, fueling hatred by instilling discriminatory ideas and beliefs in people’s mind. Such hateful content may take the form of outrageous expression, terms of contempt, invectives, stereotyping, attempts to offend, stigmatization, dehumanization, declarations of inferiority, expressions of disgust, insults, marginalization, or provocations of hatred, violence, or discrimination against individuals or groups of individuals targeted because of their personal attributes or characteristics. It also includes content that legitimizes, trivializes, or denies the existence of genocide, war crimes, or crimes against humanity"
Category 6a,Defamation,KEYWORD_DEFAMATION,
Category 6b,Discrimination,KEYWORD_DISCRIMINATION,
Category 6c,Illegal incitement to violence and hatred based on protected characteristics (hate speech),KEYWORD_HATE_SPEECH,
Category 6d,Not captured by any other sub-category,KEYWORD_OTHER,
Category 7,Intellectual property infringements,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,
Category 7a,Copyright infringements,KEYWORD_COPYRIGHT_INFRINGEMENT,"In this category, we list the notifications (i.e., user or trusted flagger reports) and sanctions (i.e., negative moderation decisions), that fall under our section, “Copyright infringement” policy. We define copyright infringement as any posting of content that reproduces all or part of copyrighted works without proper authorization, including music and songs (recordings, soundtracks, etc.), audiovisual works (films, series, video clips, TV shows, advertisements, etc.), dramatic works (plays, operas, musicals, live shows, etc.), graphic and plastic works (paintings, photographs, comics, illustrations, etc.), video games, and written works (literary works, articles, etc.), provided there is no Exceptions to copyright."
Category 7b,Design infringements,KEYWORD_DESIGN_INFRINGEMENT,
Category 7c,Geographical indications infringements,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,
Category 7d,Patent infringements,KEYWORD_PATENT_INFRINGEMENT,
Category 7e,Trade secret infringements,KEYWORD_TRADE_SECRET_INFRINGEMENT,
Category 7f,Trademark infringements,KEYWORD_TRADEMARK_INFRINGEMENT,
Category 7g,Not captured by any other sub-category,KEYWORD_OTHER,
Category 8,Negative effects on civic discourse or elections,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,"In this category, we list the notifications (i.e., user or trusted flagger reports) and sanctions (i.e., negative moderation decisions), that fall under our “Dis/mis-information” policy. We define dis/mis-information as the dissemination of false, distorted, misleading, and/or malicious speech or information that may disturb public order and/or public opinion. It includes (1) electoral dis/mis-information, (2) medical dis/mis-information, (3) Climate-change denial, (4) conspiracy theories."
Category 8a,"Misinformation, disinformation, foreign information manipulation and interference",KEYWORD_MISINFORMATION_DISINFORMATION,
Category 8b,Violation of EU law relevant to civic discourse or elections,KEYWORD_VIOLATION_EU_LAW,
Category 8c,Violation of national law relevant to civic discourse or elections,KEYWORD_VIOLATION_NATIONAL_LAW,
Category 8d,Not captured by any other sub-category,KEYWORD_OTHER,
Category 9,Protection of minors,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,
Category 9a,Age-specific restrictions concerning minors,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,"In this category, we list the notifications (i.e., user or trusted flagger reports) that fall under our“Harmful for vulnerable audiences” policy."
Category 9b,Child sexual abuse material,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"In this category, we list the notifications (i.e., user or trusted flagger reports) and sanctions (i.e., negative moderation decisions) that fall under our  “Child Sexual Exploitation Material (CSEM)” policy. We define CSEM as any content that shows, describes, or otherwise represents a child (anyone under the age of 18) engaged in a real or simulated sexual act, or that is intended to exploit the child sexually. This specifically includes (1) Child Sexual Abuse Material (CSAM) such as images, videos, or other media depicting the sexual abuse or assault of a child; (2) material that sexually depicts children in sexually suggestive ways, even if no physical abuse is shown; (3) content that has been manipulated or digitally created (including deepfakes or cartoons) to depict child sexual exploitation; and (4) any material that is used to groom, lure, or exploit children for sexual purposes."
Category 9c,Child sexual abuse material containing deepfake or similar technology,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,
Category 9d,Grooming/sexual enticement of minors,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,
Category 9e,Unsafe challenges,KEYWORD_UNSAFE_CHALLENGES,
Category 9f,Not captured by any other sub-category,KEYWORD_OTHER,"In this category, we list the notifications (i.e., user or trusted flagger reports) and sanctions (i.e., negative moderation decisions) that fall under our  “Child abuse” policy. We define child abuse as any behavior, action, or content that depicts, promotes, glorifies, or trivializes the physical, emotional, or psychological harm, neglect, or exploitation of children (individuals under 18 years old). This includes (1) Child labor, (2) Glorification or mockery, (3) Hoaxes, pranks, and dangerous challenges, (4) Bullying"
Category 10,Risk for public security,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,
Category 10a,Illegal organizations,KEYWORD_ILLEGAL_ORGANIZATIONS,
Category 10b,Risk for environmental damage,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,
Category 10c,Risk for public health,KEYWORD_RISK_PUBLIC_HEALTH,
Category 10d,Terrorist content,KEYWORD_TERRORIST_CONTENT,"In this category, we list the notifications (i.e., user or trusted flagger reports) and sanctions (i.e., negative moderation decisions), that fall under our  “Terrorist content” policy. We define terrorist content as any content that advocates or promotes violent extremist and/or terrorist organizations, individuals, or acts. To enforce this policy and qualify content as terrorist or violent extremist, Dailymotion relies on official consolidated lists of terrorist organizations published by the European Union."
Category 10e,Not captured by any other sub-category,KEYWORD_OTHER,
Category 11,Scams and/or fraud,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,"In this category, we list the notifications (i.e., user or trusted flagger reports) and sanctions (i.e., negative moderation decisions) that fall under our  “Misleading and/or spam” policy. We define misleading and spam content as any irrelevant, repetitive, misleading, or unsolicited content, often created to deceive, promote scams, or manipulate engagement metrics (such as views, likes, or clicks). This specifically includes (1) financial gain scams designed to defraud users; (2) tutorials on illegal access to content; (3) impersonation in video where bad actors misrepresent themselves as legitimate entities or individuals; (4) legitimate business promotional content that violates our policies on commercial spam; (5) low-quality videos created solely to manipulate platform algorithms; (6) misleading content and clickbait that deceives users about the actual content of videos; (7) phishing attempts aimed at stealing personal information or credentials; and (8) SEO spam designed to manipulate search rankings and visibility artificially."
Category 11a,Impersonation or account hijacking,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,
Category 11b,Inauthentic accounts,KEYWORD_INAUTHENTIC_ACCOUNTS,
Category 11c,Inauthentic listings,KEYWORD_INAUTHENTIC_LISTINGS,
Category 11d,Inauthentic user reviews,KEYWORD_INAUTHENTIC_USER_REVIEWS,
Category 11e,Phishing,KEYWORD_PHISHING,
Category 11f,Pyramid schemes,KEYWORD_PYRAMID_SCHEMES,
Category 11g,Not captured by any other sub-category,KEYWORD_OTHER,
Category 12,Self-harm,STATEMENT_CATEGORY_SELF_HARM,
Category 12a,Content promoting eating disorders,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,
Category 12b,Self-mutilation,KEYWORD_SELF_MUTILATION,
Category 12c,Suicide,KEYWORD_SUICIDE,
Category 12d,Not captured by any other sub-category,KEYWORD_OTHER,
Category 13,"Unsafe, non-compliant or prohibited products",STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,
Category 13a,Prohibited or restricted products,KEYWORD_PROHIBITED_PRODUCTS,
Category 13b,Unsafe or non-compliant products,KEYWORD_UNSAFE_PRODUCTS,
Category 13c,Not captured by any other sub-category,KEYWORD_OTHER,
Category 14,Violence,STATEMENT_CATEGORY_VIOLENCE,"In this category, we list the notifications (i.e. user or trusted flagger reports) and sanctions (i.e. negative moderation decisions) that fall under our “Shocking, malicious, violent, or dangerous” policy. We define violence as any content and associated metadata that cause, threaten, encourage, or glorify harm toward individuals or groups. This includes (1) Cyberharassment: content that threatens, bullies, intimidates, stalks, or maliciously targets individuals or groups—including doxxing and coordinated harassment campaigns. (2) Exploitative content: (2.a) Human exploitation and trafficking, (2.b) Cult-related content: content that manipulates, coerces, or exploits vulnerable individuals or groups for ideological, psychological, or financial gain, including encouraging harmful or isolating behaviors. (2.b) Sexually exploitative content: Any content or visual depiction that is non-consensual, abusive, or exploitative, or content that objectifies, endangers, or violates the autonomy of any person. (3) Unauthorized violence: (3.a) Personal attacks: content that depicts, encourages, or incites violence, physical harm (including suicide, self-harm), or targeted abuse against individuals or groups. (3.b) Promotion of violence or vulgarity: content that depicts, glorifies, trivializes, or encourages violent acts, brutality, or excessive vulgarity in ways that degrade or endanger others. (3.c) Animal death and suffering. (4) Unsafe, non-compliant or prohibited products"
Category 14a,Coordinated harm,KEYWORD_COORDINATED_HARM,
Category 14b,General calls or incitement to violence and/or hatred,KEYWORD_INCITEMENT_VIOLENCE_HATRED,
Category 14c,Human exploitation,KEYWORD_HUMAN_EXPLOITATION,
Category 14d,Human trafficking,KEYWORD_HUMAN_TRAFFICKING,
Category 14e,Trafficking in women and girls,KEYWORD_TRAFFICKING_WOMEN_GIRLS,
Category 14f,Not captured by any other sub-category,KEYWORD_OTHER,
Category 15,Other violation of provider’s terms and conditions,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,
Category 15a,Adult sexual material,KEYWORD_ADULT_SEXUAL_MATERIAL,"In this category, we list the notifications (i.e. user or trusted flagger reports) and sanctions (i.e. negative moderation decisions) that fall under our “Sexually explicit” policy. We define sexually explicit as any content that depicts or emphasizes sexual activity, sexual arousal, or the sexualization of individuals in a manner intended to provoke, suggest, or exploit sexual interest. This includes (1) Pornographic content, (2) Erotic content, (3) Sexualized nudity, (4) Sexual fetish content."
Category 15b,Age-specific restrictions,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,"In this category, we list sanctions (i.e. negative moderation decisions) that limit the visibility of content because of its sensitive nature. The content is not appropriate for all audiences, and access is restricted. This means that the content is no longer accessible to all audiences and its visibility is reduced. The content is also demonetized and no longer appears in Dailymotion’s search results. Please note that this sensitive filter is activated by default for all Dailymotion users and visitors."
Category 15c,Geographical requirements,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,"In this category, we list sanctions (i.e. negative moderation decisions) that limit access to specific videos based on the viewer's geographic location."
Category 15d,Goods/services not permitted to be offered on the platform,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,
Category 15e,Language requirements,KEYWORD_LANGUAGE_REQUIREMENTS,
Category 15f,Nudity,KEYWORD_NUDITY,
Category 15g,Not captured by any other sub-category,KEYWORD_OTHER,"In this category, we list various types of sanctions (i.e. negative moderation decisions) such as demonetization, restriction of social features, and removal of avatars."
Category 16,Type of illegal content not specified by the public authority,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,This category encompasses law enforcement agency (LEA) information requests where the issuing public authority has not identified or specified the particular type of illegal content in question.
Category 17,Type of alleged illegal content not specified by the notifier,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,"In this category, we list all user reports made concerning Dailymotion accounts."
