Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
Category 8,Negative effects on civic discourse or elections,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,"Negative effects on civic discourse or elections is not a category currently tracked within Grindr's content moderation framework. Grindr does not host public forums, comment sections, or broadcast content features that would typically facilitate coordinated influence on civic discourse or electoral processes. As a direct messaging and profile-based platform serving the LGBTQ+ community, the functionality available to users is not conducive to the type of organised, large-scale content distribution associated with this harm category. Manual sweeps of the platform have returned no indicators of electoral interference or civic manipulation activity, and Grindr considers the likelihood of this category presenting a meaningful risk on its service to be low. At this time, the"
Category 8a,"Misinformation, disinformation, foreign information manipulation and interference",KEYWORD_MISINFORMATION_DISINFORMATION,
Category 8b,Violation of EU law relevant to civic discourse or elections,KEYWORD_VIOLATION_EU_LAW,
Category 8c,Violation of national law relevant to civic discourse or elections,KEYWORD_VIOLATION_NATIONAL_LAW,
Category 8d,Not captured by any other sub-category,KEYWORD_OTHER,
Category 9,Protection of minors,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,
Category 9a,Age-specific restrictions concerning minors,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,
Category 9b,Child sexual abuse material,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"CSAM is not tracked seperate from the ""Age-specific restrictions concerning minors"" category within Grindr's content moderation framework. Regardless of the method of creation, all CSAM-related notices are escalated and handled with the utmost importance, subject to immediate device-level bans, specialist human review, and mandatory NCMEC reporting. Grindr reports any materials related to CSAM in the general ""Age-specific restrictions concerning minors"" category."
Category 9c,Child sexual abuse material containing deepfake or similar technology,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,"CSAM involving deepfake or AI-generated content is not a category currently tracked within Grindr's content moderation framework. Regardless of the method of creation, all CSAM-related notices are escalated and handled with the utmost importance, subject to immediate device-level bans, specialist human review, and mandatory NCMEC reporting. While there is no evidence of deepfake materials on the platform, Grindr would report any materials related to CSAM (including deepfake) in the general ""Age-specific restrictions concerning minors"" category."
Category 9d,Grooming/sexual enticement of minors,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,
Category 9e,Unsafe challenges,KEYWORD_UNSAFE_CHALLENGES,
Category 9f,Not captured by any other sub-category,KEYWORD_OTHER,
Category 10,Risk for public security,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,
Category 10a,Illegal organizations,KEYWORD_ILLEGAL_ORGANIZATIONS,
Category 10b,Risk for environmental damage,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,"Environmental damage is not a category applicable to Grindr's platform. As a location-based social and dating app, Grindr does not facilitate activities or transactions associated with environmental harm, and manual sweeps have returned no indicators of this type of content. The likelihood of this category presenting a meaningful risk on the platform is low."
Category 10c,Risk for public health,KEYWORD_RISK_PUBLIC_HEALTH,
Category 10d,Terrorist content,KEYWORD_TERRORIST_CONTENT,
Category 10e,Not captured by any other sub-category,KEYWORD_OTHER,
Category 11,Scams and/or fraud,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,
Category 11a,Impersonation or account hijacking,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,
Category 11b,Inauthentic accounts,KEYWORD_INAUTHENTIC_ACCOUNTS,
Category 11c,Inauthentic listings,KEYWORD_INAUTHENTIC_LISTINGS,"Grindr does not offer marketplace or listing functionality, and users cannot post commercial listings of any kind. This category is therefore not applicable to Grindr's platform context, and the likelihood of it presenting a meaningful risk is low."
Category 11d,Inauthentic user reviews,KEYWORD_INAUTHENTIC_USER_REVIEWS,"Grindr does not host a user review or ratings system. Users cannot post reviews of other users, businesses, or services on the platform. This category is therefore not applicable to Grindr's platform context."
Category 11e,Phishing,KEYWORD_PHISHING,
Category 11f,Pyramid schemes,KEYWORD_PYRAMID_SCHEMES,"Pyramid schemes and multi-level marketing solicitation are not categories historically associated with Grindr's platform use case. Where content of this nature is identified, it would fall under Grindr's existing Spam and Fraud enforcement frameworks. The likelihood of this category presenting a standalone meaningful risk is low."
Category 11g,Not captured by any other sub-category,KEYWORD_OTHER,
Category 12,Self-harm,STATEMENT_CATEGORY_SELF_HARM,
Category 12a,Content promoting eating disorders,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,"Content promoting eating disorders is not a category currently tracked within Grindr's moderation framework. Manual sweeps have returned no indicators of meaningful prevalence on the platform. Grindr's Community Guidelines prohibit content that promotes harmful behaviours, and any such content identified would be actioned accordingly. The likelihood of this category presenting a meaningful risk is considered low."
Category 12b,Self-mutilation,KEYWORD_SELF_MUTILATION,"Self-mutilation content is not currently tracked as a standalone category within Grindr's moderation framework. Any content of this nature identified through user reports or moderation review is treated as a high-priority welfare concern and handled in accordance with Grindr's harm reduction approach, which includes signposting users to appropriate support resources. The likelihood of this category presenting a systemic risk on the platform is considered low."
Category 12c,Suicide,KEYWORD_SUICIDE,Suicide-related content is not currently tracked as a standalone category within Grindr's moderation framework. Any content of this nature identified through user reports or moderation review is treated as a high-priority welfare concern. The likelihood of this category presenting a systemic risk on the platform is considered low.
Category 12d,Not captured by any other sub-category,KEYWORD_OTHER,
Category 13,"Unsafe, non-compliant or prohibited products",STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,
Category 13a,Prohibited or restricted products,KEYWORD_PROHIBITED_PRODUCTS,
Category 13b,Unsafe or non-compliant products,KEYWORD_UNSAFE_PRODUCTS,
Category 13c,Not captured by any other sub-category,KEYWORD_OTHER,
Category 14,Violence,STATEMENT_CATEGORY_VIOLENCE,
Category 14a,Coordinated harm,KEYWORD_COORDINATED_HARM,
Category 14b,General calls or incitement to violence and/or hatred,KEYWORD_INCITEMENT_VIOLENCE_HATRED,
Category 14c,Human exploitation,KEYWORD_HUMAN_EXPLOITATION,
Category 14d,Human trafficking,KEYWORD_HUMAN_TRAFFICKING,
Category 14e,Trafficking in women and girls,KEYWORD_TRAFFICKING_WOMEN_GIRLS,
Category 14f,Not captured by any other sub-category,KEYWORD_OTHER,
Category 15,Other violation of provider’s terms and conditions,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,
Category 15a,Adult sexual material,KEYWORD_ADULT_SEXUAL_MATERIAL,
Category 15b,Age-specific restrictions,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,
Category 15c,Geographical requirements,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,
Category 15d,Goods/services not permitted to be offered on the platform,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,
Category 15e,Language requirements,KEYWORD_LANGUAGE_REQUIREMENTS,
Category 15f,Nudity,KEYWORD_NUDITY,
Category 15g,Not captured by any other sub-category,KEYWORD_OTHER,
Category 16,Type of illegal content not specified by the public authority,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,
Category 17,Type of alleged illegal content not specified by the notifier,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,
