Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Provision of the service Suspension,Provision of the service Termination,Account restriction Termination,Account restriction Suspension,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,619,0,1,277,71,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,2337,0,0,242,18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,792,0,792,116,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,786,0,786,65,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,359,0,359,36,323,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,6892,0,0,1179,5713,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,3058363,391087,406169,147530,1383512,1508851,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,357525,91171,185697,62617,70264,16420,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_NUDITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Upwork Global LLC,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
