Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information 
Category 11i,Not captured by any other sub-category ,KEYWORD_OTHER_SPAM,Added category to record Article 9 member state order submissions alleging spam or own initiative actions taken against our Spam Community Standard.
Category 11j,Not captured by any other sub-category ,KEYWORD_OTHER_GAMBLING,Added category to capture likely violations of local gambling laws or own initiative actions taken against our Online Gambling and Games Advertising Standard.
Category 11k,Not captured by any other sub-category ,KEYWORD_OTHER_FAKE_ENGAGEMENT,Added category to capture own initiative actions taken against our Monetize Authentic Engagement Partner Monetization Policy.
Category 12,Self-harm,STATEMENT_CATEGORY_SELF_HARM,
Category 12a,Content promoting eating disorders,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,
Category 12b,Self-mutilation,KEYWORD_SELF_MUTILATION,
Category 12c,Suicide,KEYWORD_SUICIDE,
Category 13,"Unsafe, non-compliant or prohibited products ",STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,
Category 13a,Prohibited or restricted products,KEYWORD_PROHIBITED_PRODUCTS,"Category is inclusive of Article 9 member state orders, Article 10 data requests, Article 16 notices and own initiative actions related to drugs, firearms and other prohibited products."
Category 13b,Unsafe or non-compliant products,KEYWORD_UNSAFE_PRODUCTS,
Category 13c,Not captured by any other sub-category  ,KEYWORD_OTHER_GOODS_SERVICES_NOT_PERMITTED,"Added category to record Article 9 member state order submissions alleging unsafe substances, tobacco, alcohol, unsafe medical products, or unsafe financial services."
Category 13d,Not captured by any other sub-category  ,KEYWORD_OTHER_STOLEN_GOODS,Added category to capture own initiative actions taken against our Stolen Goods Commerce Policy.
Category 13e,Not captured by any other sub-category  ,KEYWORD_OTHER_VEHICLE_ACCESSORIES,Added category to capture own initiative actions taken against our Vehicle Parts and Accessories Commerce Policy.
Category 13f,Not captured by any other sub-category  ,KEYWORD_OTHER_NUDITY_SEXUAL_ACTIVITY,Added category to capture Article 9 member state order and Article 16 user notice submissions alleging nudity or sexual activity
Category 14,Violence ,STATEMENT_CATEGORY_VIOLENCE,
Category 14a,Coordinated harm,KEYWORD_COORDINATED_HARM,
Category 14b,General calls or incitement to violence and/or hatred,KEYWORD_INCITEMENT_VIOLENCE_HATRED,Category is inclusive of Article 10 data requests alleging the threat of violence as the reason for the request.
Category 14c,Human exploitation,KEYWORD_HUMAN_EXPLOITATION,
Category 14d,Human trafficking,KEYWORD_HUMAN_TRAFFICKING,
Category 14e,Trafficking in women and girls,KEYWORD_TRAFFICKING_WOMEN_GIRLS,
Category 14f,Not captured by any other sub-category ,KEYWORD_OTHER_MURDER,Added category to record Article 10 member state order submissions to provide information alleging murder as the reason for the request.
Category 14g,Not captured by any other sub-category ,KEYWORD_OTHER_KIDNAPPED_OR_MISSING_PERSON,Added category to record Article 10 member state order submissions to provide information alleging kidnapping or missing person as the reason for the request.
Category 14h,Not captured by any other sub-category ,KEYWORD_OTHER_PHYSICAL_ASSAULT,Added category to record Article 10 member state order submissions to provide information alleging physical assault as the reason for the request.
Category 14i,Not captured by any other sub-category ,KEYWORD_OTHER_SEX_CRIME_SEXUAL_ASSAULT,Added category to record Article 10 member state order submissions to provide information alleging a sex crime or sexual assault as the reason for the request.
Category 14j,Not captured by any other sub-category ,KEYWORD_OTHER_GRAPHIC_VIOLENCE,Added category to record Article 9 member state order and Article 16 user notice submissions alleging graphic violence or own initiative actions taken against our Violent and Graphic Content Community Standard.
Category 14k,Not captured by any other sub-category ,KEYWORD_OTHER_THREATS_OF_VIOLENCE,Added category to record Article 10 member state order submissions alleging threats of violence.
Category 15,Other violation of provider’s terms and conditions,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,
Category 15a,Adult sexual material,KEYWORD_ADULT_SEXUAL_MATERIAL,
Category 15b,Age-specific restrictions,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,
Category 15c,Geographical requirements,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,
Category 15d,Goods/services not permitted to be offered on the platform,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,
Category 15e,Language requirements,KEYWORD_LANGUAGE_REQUIREMENTS,
Category 15f,Nudity,KEYWORD_NUDITY,Our Community Standard covers both adult nudity and sexual activity. Actions against this community standard are recorded in the adult sexual material category.
Category 15g,Not captured by any other sub-category  ,KEYWORD_OTHER_HARMFUL_ACCOUNT,Added category to record Article 9 member state order submissions alleging harmful accounts or own initiative actions taken against our Account Integrity Community Standard.
Category 15h,Not captured by any other sub-category  ,KEYWORD_OTHER_MEMORIALIZATION,Added category to capture own initiative actions taken against our Memorialization Community Standard.
Category 15i,Not captured by any other sub-category  ,KEYWORD_OTHER_META_BRAND,Added category to capture own initiative actions taken against our Using Meta Intellectual Property and Licenses Advertising Standard.
Category 15j,Not captured by any other sub-category  ,KEYWORD_OTHER_MONETIZATION_VIOLATION,Added category to capture own initiative actions taken against our Content Monetization or Partner Monetization Policies.
Category 15k,Not captured by any other sub-category  ,KEYWORD_OTHER_REPEAT_VIOLATOR,Added category to capture own initiative actions taken against accounts repeatedly in violation of our Community Standards.
Category 15l,Not captured by any other sub-category  ,KEYWORD_OTHER_UNORIGINAL_CONTENT,Added category to capture own initiative actions taken against our Share Original Content Partner Monetization Policy.
Category 15m,Not captured by any other sub-category  ,KEYWORD_OTHER_PAYMENT_TERMS,Added category to capture own initiative actions taken against our Payment Terms Partner Monetization Policy.
Category 15n,Not captured by any other sub-category  ,KEYWORD_OTHER_UNKNOWN,Added category to capture instances where a definitive reason for actions against likely illegal content or users was not logged. We consistently work to identify the source of issues that may result in logging errors and correct them as soon as possible.
Category 16,Type of illegal content not specified by the public authority,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,
Category 17,Type of alleged illegal content not specified by the notifier,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,
Category 18,Other own initiative actions against likely illegal content or users,STATEMENT_CATEGORY_OTHER_ILLEGAL,"Added category to capture instances where a definitive reason for actions against terms and conditions violating content or users was not logged. We consistently work to identify the source of issues that may result in logging errors and correct them as soon as possible.

"
