Υπηρεσία,Περίοδος υποβολής εκθέσεων,Κατηγορία παράνομου περιεχομένου,Περιγραφή της υποκατηγορίας «Άλλο»,Εύρος,Αριθμός των εντολών ανάληψης δράσης κατά παράνομου περιεχομένου που ελήφθησαν,Αριθμός των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των εντολών ανάληψης δράσης κατά παράνομου περιεχομένου,Διάμεσος χρόνος που απαιτήθηκε για να ενημερωθεί η αρχή σχετικά με την παραλαβή της εντολής ανάληψης δράσης κατά παράνομου περιεχομένου,Διάμεσος χρόνος που απαιτήθηκε για την εκτέλεση της εντολής ανάληψης δράσης κατά παράνομου περιεχομένου,Αριθμός των εντολών παροχής πληροφοριών,Διάμεσος χρόνος που απαιτήθηκε για να ενημερωθεί η αρχή σχετικά με την παραλαβή της εντολής παροχής πληροφοριών,Διάμεσος χρόνος που απαιτήθηκε για την εκτέλεση της εντολής παροχής πληροφοριών,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των εντολών ανάληψης δράσης κατά παράνομου περιεχομένου που ελήφθησαν,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των εντολών ανάληψης δράσης κατά παράνομου περιεχομένου,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για να ενημερωθεί η αρχή σχετικά με την παραλαβή της εντολής ανάληψης δράσης κατά παράνομου περιεχομένου,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για την εκτέλεση της εντολής ανάληψης δράσης κατά παράνομου περιεχομένου,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των εντολών παροχής πληροφοριών,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για να ενημερωθεί η αρχή σχετικά με την παραλαβή της εντολής παροχής πληροφοριών,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για την εκτέλεση της εντολής παροχής πληροφοριών
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_STALKING,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DEFAMATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DISCRIMINATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HATE_SPEECH,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,18,0,0,,,18,24,168,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,1,0,0,,,1,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PHISHING,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Προκειται για εντολές παροχής πληροφοριών αναφορικά με αποδέκτες της υπηρεσίας για πιθανολογούμενες περιπτώσεις απάτης με υπολογιστή ή/και ξέπλυμα χρήματος,17,0,0,,,17,,168,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_SELF_MUTILATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_SUICIDE,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,3,3,3,24,48,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,3,3,3,24,48,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,0,0,0,0,0,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,0,0,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,0,0,,,0,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,70,0,0,,,70,,168,,,,,,,
Skroutz,2025-02-17/2025-12-31,TOTAL,,GR,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_ANIMAL_HARM,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_INCITEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_STALKING,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DATA_FALSIFICATION,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DEFAMATION,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DISCRIMINATION,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HATE_SPEECH,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TERRORIST_CONTENT,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,GR,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,"AT, […], SE",,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,GR,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,"AT, […], SE",,,,,,,,,,,,,,
