~~,Περίοδος υποβολής εκθέσεων,Κατηγορία παράνομου περιεχομένου,Περιγραφή της υποκατηγορίας «Άλλο»,Αριθμός των ειδοποιήσεων που ελήφθησαν,Αριθμός των ειδοποιήσεων που ελήφθησαν από αξιόπιστες πηγές επισήμανσης παράνομου περιεχομένου,Αριθμός των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των ειδοποιήσεων,Αριθμός των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των ειδοποιήσεων από αξιόπιστες πηγές επισήμανσης παράνομου περιεχομένου (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Διάμεσος χρόνος που απαιτήθηκε για την ανάληψη δράσης,Διάμεσος χρόνος που απαιτήθηκε για την ανάληψη δράσης (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Αριθμός των δράσεων που αναλήφθηκαν βάσει νόμου,Αριθμός των δράσεων που αναλήφθηκαν βάσει νόμου (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Αριθμός των δράσεων που αναλήφθηκαν βάσει των όρων και προϋποθέσεων της υπηρεσίας,Αριθμός των δράσεων που αναλήφθηκαν βάσει των όρων και προϋποθέσεων της υπηρεσίας (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των ειδοποιήσεων που ελήφθησαν,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των ειδοποιήσεων που ελήφθησαν από αξιόπιστες πηγές επισήμανσης παράνομου περιεχομένου,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των ειδοποιήσεων,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των συγκεκριμένων πληροφοριακών στοιχείων που περιλαμβάνονταν στον συνολικό αριθμό των ειδοποιήσεων από αξιόπιστες πηγές επισήμανσης παράνομου περιεχομένου (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για την ανάληψη δράσης,Συγκειμενικές πληροφορίες σχετικά με τον διάμεσο χρόνο που απαιτήθηκε για την ανάληψη δράσης (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των δράσεων που αναλήφθηκαν βάσει νόμου,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των δράσεων που αναλήφθηκαν βάσει νόμου (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου),Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των δράσεων που αναλήφθηκαν βάσει των όρων και προϋποθέσεων της υπηρεσίας,Συγκειμενικές πληροφορίες σχετικά με τον αριθμό των δράσεων που αναλήφθηκαν βάσει των όρων και προϋποθέσεων της υπηρεσίας (ειδοποιήσεις αξιόπιστων πηγών επισήμανσης παράνομου περιεχομένου)
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HATE_SPEECH,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,47,,47,,168,,16,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,16,,16,,168,,6,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,1,,1,,168,,1,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,,0,,0,,0,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,7,,7,,168,,0,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,,0,,0,,0,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,23,,23,,168,,9,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,,0,,0,,0,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,54,,54,,168,,8,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,29,,29,,168,,4,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,25,,25,,168,,4,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,0,,0,,0,,0,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,0,,0,,0,,0,,0,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,KEYWORD_OTHER,Κείμενο για την παροχή λεπτομερειών σχετικά με τη λέξη-κλειδί «Άλλο».,,,,,,,,,,,,,,,,,,,,
Skroutz,2025-02-17/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,183,,183,,168,,0,,4,,,,,,,,,,,
