Applicability,Service,Reporting period,Category of illegal content,Description of Other,Number of notices received,Number of notices received from Trusted flaggers,Number of items moderated,Number of items moderated (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flaggers notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flaggers notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flaggers notices)
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DEFAMATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DISCRIMINATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HATE_SPEECH,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_COPYRIGHT_INFRINGEMENT,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISINFORMATION_DISINFORMATION_DISINFORMATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_NON_CONSENSUAL_BEHAVIOUR,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_ITEMS_DEEPFAKE,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ONLINE_BULLYING_INTIMIDATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_STALKING,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_IMAGE_BASED_SEXUAL_ABUSE,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_PHISHING,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_SELF_MUTILATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_SUICIDE,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
"Only for providers of hosting services, including online platforms",LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_COORDINATED_HARM,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_GENDER_BASED_VIOLENCE,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,
