Applicability,Service,Reporting period,Category of illegal content,Description of Other,Number of items moderated at the provider's own initiative,Number of items detected solely using automated means,Total number of restrictions imposed,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HATE_SPEECH,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_COPYRIGHT_INFRINGEMENT,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_MISINFORMATION_DISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_NON_CONSENSUAL_BEHAVIOUR,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NON_CONSENSUAL_ITEMS_DEEPFAKE,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ONLINE_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_STALKING,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_IMAGE_BASED_SEXUAL_ABUSE,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_GENDER_BASED_VIOLENCE,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
All,LINE Messannger,2025-01-31/2025-12-31,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_NUDITY,,,,,,,,,,,,,,,,,,
All,,YYYY-MM-DD/YYYY-MM-DD,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,
