Anwendbarkeit,Dienst,Berichtszeitraum,Kategorie illegaler Inhalte,Beschreibung der Unterkategorie „Sonstige“,Anwendungsbereich,Anzahl der Anordnungen der Mitgliedstaaten zum Vorgehen gegen rechtswidrige Inhalte,Anzahl bestimmter Einzelinformationen in der Gesamtzahl der Anordnungen zum Vorgehen gegen rechtswidrige Inhalte,Mediandauer bis zur Unterrichtung der Behörde über den Eingang der Anordnung zum Vorgehen gegen rechtswidrige Inhalte,"Mediandauer, um der Anordnung zum Vorgehen gegen rechtswidrige Inhalte nachzukommen",Anzahl der Anordnungen zur Bereitstellung von Informationen,Mediandauer bis zur Unterrichtung der Behörde über den Eingang der Anordnung zur Bereitstellung von Informationen,"Mediandauer, um der Anordnung zur Bereitstellung von Informationen nachzukommen",Hintergrundinformationen zur Anzahl der Anordnungen der Mitgliedstaaten zum Vorgehen gegen rechtswidrige Inhalte,Hintergrundinformationen zur Anzahl bestimmter Einzelinformationen in der Gesamtzahl der Anordnungen zum Vorgehen gegen rechtswidrige Inhalte,Hintergrundinformationen zur Mediandauer bis zur Unterrichtung der Behörde über den Eingang der Anordnung zum Vorgehen gegen rechtswidrige Inhalte,"Hintergrundinformationen zur Mediandauer, um der Anordnung zum Vorgehen gegen rechtswidrige Inhalte nachzukommen",Hintergrundinformationen zur Anzahl der Anordnungen zur Bereitstellung von Informationen,Hintergrundinformationen zur Mediandauer bis zur Unterrichtung der Behörde über den Eingang der Anordnung zur Bereitstellung von Informationen,"Hintergrundinformationen zur Mediandauer, um der Anordnung zur Bereitstellung von Informationen nachzukommen"
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_PHISHING,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,GESAMT,0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,TOTAL,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,"AT, […], SE",0,0,0,0,0,0,,,,,,,,
