Anwendbarkeit,Dienst,Berichtszeitraum,Abschnitt,Indikator,Wertebereich,Wert,Hintergrundinformationen
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Beendigung der Bereitstellung des Dienstes,Mediandauer,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Schließung eines Kontos,Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Schließung eines Kontos,Bestätigte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Schließung eines Kontos,Teilweise rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Schließung eines Kontos,Rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Aussetzung oder Schließung eines Kontos,Mediandauer,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Beschränkung der Möglichkeit zur Monetarisierung von Informationen,Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Beschränkung der Möglichkeit zur Monetarisierung von Informationen,Bestätigte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Beschränkung der Möglichkeit zur Monetarisierung von Informationen,Teilweise rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Beschränkung der Möglichkeit zur Monetarisierung von Informationen,Rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,Beschwerde über eine Entscheidung zur Beschränkung der Möglichkeit zur Monetarisierung von Informationen,Mediandauer,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Bestätigte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Teilweise rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Mediandauer,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer durch einen vertrauenswürdigen Hinweisgeber gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer durch einen vertrauenswürdigen Hinweisgeber gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Bestätigte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer durch einen vertrauenswürdigen Hinweisgeber gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Teilweise rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer durch einen vertrauenswürdigen Hinweisgeber gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Internes Beschwerdeverfahren,"Beschwerde über eine Entscheidung, nach einer durch einen vertrauenswürdigen Hinweisgeber gemäß Artikel 16 übermittelten Meldung keine Maßnahmen zu ergreifen",Mediandauer,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Außergerichtliche Streitbeilegungsstellen,Anzahl der den außergerichtlichen Streitbeilegungsstellen vorgelegten Streitfälle,Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Außergerichtliche Streitbeilegungsstellen,Anzahl der den außergerichtlichen Streitbeilegungsstellen vorgelegten Streitfälle,Bestätigte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Außergerichtliche Streitbeilegungsstellen,Anzahl der den außergerichtlichen Streitbeilegungsstellen vorgelegten Streitfälle,Teilweise rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Außergerichtliche Streitbeilegungsstellen,Anzahl der den außergerichtlichen Streitbeilegungsstellen vorgelegten Streitfälle,Rückgängig gemachte Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Außergerichtliche Streitbeilegungsstellen,Anzahl der den außergerichtlichen Streitbeilegungsstellen vorgelegten Streitfälle,Mediandauer,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Außergerichtliche Streitbeilegungsstellen,Anzahl der den außergerichtlichen Streitbeilegungsstellen vorgelegten Streitfälle,Vermiedene Entscheidungen,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Außergerichtliche Streitbeilegungsstellen,Anzahl der den außergerichtlichen Streitbeilegungsstellen vorgelegten Streitfälle,Prozentsatz der umgesetzten Entscheidungsergebnisse,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Wiederholungstätern auferlegte Aussetzungen,Anzahl der Aussetzungen wegen offensichtlich rechtswidriger Inhalte,Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Wiederholungstätern auferlegte Aussetzungen,Anzahl der Aussetzungen wegen offensichtlich unbegründeter Meldungen,Gesamtzahl,,
Nur für Anbieter von Online-Plattformen,,JJJJ-MM-TT/JJJJ-MM-TT,Wiederholungstätern auferlegte Aussetzungen,Anzahl der Aussetzungen wegen offensichtlich unbegründeter Beschwerden,Gesamtzahl,,
